Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_371.jpg;0;0.497577;0;0.02917782;99.67281;85.59147;0.07877605;41.69762;-8.166886E-05
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_437.jpg;0;0.6977069;0;0.04865756;99.67793;85.59601;0.2141051;41.52026;0.0006165089
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_505.jpg;0;0.899487;0;0.08263685;99.68471;85.60201;0.3877091;41.4352;0.001285439
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_570.jpg;0;1;0;0.1522042;99.69451;85.61063;0.6067992;41.49976;-0.0009384566
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_638.jpg;0;1;0;0.2058717;99.7114;85.6256;0.9351148;41.68686;-0.001763945
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_704.jpg;0;1;0;0.2619738;99.72658;85.63899;1.183986;41.68024;-0.0008998027
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_770.jpg;0;1;0;0.3289689;99.74316;85.65368;1.340131;41.67154;-0.00146553
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_837.jpg;0;1;0;0.3674418;99.76392;85.67253;1.161153;41.7384;-0.00136453
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_904.jpg;0;1;0;0.4259401;99.78278;85.68923;1.063774;41.74103;-0.0008152543
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_03_971.jpg;0;1;0;0.5017973;99.80529;85.70924;1.053308;41.86702;-0.001050666
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_04_037.jpg;0;1;0;0.5512273;99.8395;85.73963;1.115463;41.8095;-0.0005132153
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_04_104.jpg;0;1;0;0.5944234;99.86781;85.7647;1.19154;41.70262;-0.000670971
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_04_171.jpg;0;1;0;0.6540474;99.89771;85.79115;1.236127;41.68566;-0.001155264
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_04_237.jpg;0;1;0;0.7105336;99.94071;85.82922;1.231912;41.62014;-0.001087639
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_04_305.jpg;0;1;0;0.7638417;99.97548;85.85993;1.206902;41.61716;-0.0009007708
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_04_371.jpg;0;1;0;0.8245142;100.0125;85.89262;1.187671;41.65795;-0.0005985438
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_04_437.jpg;0;1;0;0.8677329;100.0658;85.9397;1.221428;41.66684;-0.0007367072
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_04_504.jpg;0;1;0;0.9321819;100.109;85.97784;1.258604;41.6764;-0.0011628
/Users/robertlo/Documents/GitHub/playground/Udacity_Robot/IMG/robocam_2018_02_21_17_19_04_571.jpg;0;1;0;0.9901915;100.1537;86.01732;1.253208;41.62479;-0.000771569
