日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/03/03,"7,240,224","751,259,100",103.50,104.50,103.00,104.50,+1.50,"2,696"
109/03/04,"5,486,465","581,564,255",104.00,107.00,104.00,107.00,+2.50,"2,663"
109/03/05,"4,649,568","500,020,608",107.00,108.50,107.00,108.50,+1.50,"2,273"
109/03/06,"6,259,884","664,234,134",107.50,107.50,105.00,106.00,-2.50,"2,927"
109/03/09,"6,704,491","697,867,564",104.50,104.50,103.50,104.00,-2.00,"4,331"
109/03/10,"6,513,824","682,886,918",103.00,106.50,103.00,106.00,+2.00,"3,798"
109/03/11,"4,511,865","474,207,750",105.50,105.50,104.50,105.50,-0.50,"2,388"
109/03/12,"6,640,280","692,242,400",104.50,105.50,103.50,105.50, 0.00,"3,604"
109/03/13,"11,906,875","1,215,918,000",103.00,105.00,99.20,105.00,-0.50,"5,771"
109/03/16,"4,853,727","501,888,711",104.50,104.50,103.00,103.50,-1.50,"2,562"
109/03/17,"10,298,482","1,056,632,146",102.00,104.50,101.00,103.00,-0.50,"4,372"
109/03/18,"11,731,057","1,185,341,257",102.50,102.50,99.80,101.00,-2.00,"5,758"
109/03/19,"10,029,881","995,226,972",98.50,101.00,97.80,100.00,-1.00,"4,825"
109/03/20,"12,596,060","1,262,069,700",100.50,101.50,99.80,99.90,-0.10,"4,188"
109/03/23,"8,860,534","870,820,134",98.30,99.30,98.00,98.00,-1.90,"2,702"
109/03/24,"8,145,744","808,485,956",98.10,100.50,98.00,98.70,+0.70,"3,499"
109/03/25,"5,358,801","540,594,602",99.30,102.00,99.30,102.00,+3.30,"2,412"
109/03/26,"4,218,637","426,260,474",102.00,102.50,100.50,100.50,-1.50,"1,452"
109/03/27,"8,286,259","836,803,269",102.00,102.00,100.50,101.50,+1.00,"2,893"
109/03/30,"4,391,956","439,149,656",100.00,101.00,99.50,100.00,-1.50,"2,051"
109/03/31,"5,206,380","520,542,500",100.50,101.00,99.50,99.90,-0.10,"1,859"
109/04/01,"8,405,030","829,772,060",99.70,99.80,98.10,98.10,-1.80,"4,006"
109/04/06,"5,379,941","538,322,041",98.40,101.00,98.30,101.00,+2.90,"3,162"
109/04/07,"6,732,088","686,070,499",101.50,102.50,101.00,102.50,+1.50,"2,459"
109/04/08,"5,399,794","555,009,169",102.00,103.50,101.50,103.50,+1.00,"2,391"
109/04/09,"4,527,740","468,425,460",103.50,104.00,103.00,104.00,+0.50,"1,912"
109/04/10,"2,295,137","238,782,299",104.00,104.50,103.50,104.50,+0.50,"1,214"
109/04/13,"2,257,974","235,571,770",104.50,105.00,104.00,104.00,-0.50,"1,493"
109/04/14,"4,659,570","492,074,920",104.00,106.50,104.00,106.00,+2.00,"2,195"
109/04/15,"4,164,973","442,647,108",106.00,107.00,106.00,106.50,+0.50,"2,412"
109/04/16,"4,452,271","471,841,079",106.00,107.00,105.50,105.50,-1.00,"2,134"
109/04/17,"3,853,859","410,718,054",106.00,107.50,106.00,106.00,+0.50,"1,775"
109/04/20,"2,694,791","287,361,637",106.00,107.00,106.00,107.00,+1.00,902
109/04/21,"4,537,835","482,667,414",106.50,107.00,106.00,106.00,-1.00,"2,660"
109/04/22,"2,365,386","249,657,916",105.50,106.00,105.00,106.00, 0.00,961
109/04/23,"3,088,110","325,058,660",106.00,106.50,104.50,105.50,-0.50,"1,140"
109/04/24,"2,064,120","219,062,720",106.00,106.50,105.50,106.00,+0.50,"1,054"
109/04/27,"3,458,968","371,535,544",107.00,108.00,107.00,108.00,+2.00,"1,597"
109/04/28,"2,553,944","274,599,452",108.00,108.00,107.00,108.00, 0.00,937
109/04/29,"4,875,198","522,263,277",107.00,107.50,106.50,106.50,-1.50,"2,665"
109/04/30,"4,142,100","445,261,745",107.00,108.00,106.50,107.50,+1.00,"2,359"
109/05/04,"6,103,029","651,140,135",105.50,108.00,105.00,108.00,+0.50,"3,703"
109/05/05,"2,665,957","287,337,356",107.50,108.00,107.50,107.50,-0.50,"1,685"
109/05/06,"3,716,509","398,405,463",107.50,107.50,107.00,107.00,-0.50,"2,276"
109/05/07,"1,259,605","135,377,025",107.50,108.00,107.00,107.50,+0.50,643
109/05/08,"2,495,770","269,107,271",107.50,108.50,107.50,107.50, 0.00,"1,049"
109/05/11,"1,690,471","183,027,868",108.50,108.50,108.00,108.00,+0.50,"1,008"
109/05/12,"2,067,017","222,228,336",107.50,108.00,107.00,107.00,-1.00,"1,146"
109/05/13,"1,861,116","200,501,961",108.00,108.00,107.50,107.50,+0.50,831
109/05/14,"1,714,338","183,701,330",107.50,107.50,107.00,107.00,-0.50,762
109/05/15,"1,802,532","193,937,956",108.00,108.00,107.00,107.50,+0.50,803
109/05/18,"3,300,171","354,666,468",107.00,108.00,107.00,107.50, 0.00,"1,115"
109/05/19,"3,220,001","347,724,278",108.50,108.50,107.50,108.00,+0.50,"1,453"
109/05/20,"2,671,887","288,078,796",108.00,108.50,107.50,107.50,-0.50,"1,394"
109/05/21,"4,041,182","434,782,055",108.00,108.00,107.00,107.50, 0.00,"1,505"
109/05/22,"2,895,207","309,934,746",107.50,108.00,106.50,106.50,-1.00,"1,423"
109/05/25,"2,630,375","280,368,798",107.00,107.50,106.00,107.50,+1.00,"1,254"
109/05/26,"2,244,451","241,512,708",107.50,108.00,107.00,107.50, 0.00,"1,120"
109/05/27,"2,495,650","267,796,866",107.50,108.00,107.00,107.50, 0.00,"1,366"
109/05/28,"2,809,452","301,337,316",107.50,107.50,107.00,107.50, 0.00,"1,469"
109/05/29,"10,176,301","1,089,286,851",107.00,107.50,106.00,107.50, 0.00,"2,755"
109/06/01,"6,019,707","644,311,391",107.50,108.00,106.50,106.50,-1.00,"2,014"
109/06/02,"6,177,500","658,076,500",107.00,107.00,106.00,107.00,+0.50,"2,448"
109/06/03,"4,476,015","483,145,118",107.00,108.50,107.00,108.50,+1.50,"2,400"
109/06/04,"3,027,751","326,763,810",108.00,108.50,107.50,108.00,-0.50,"1,562"
109/06/05,"3,137,140","337,762,620",108.00,108.50,107.50,107.50,-0.50,"1,543"
109/06/08,"3,071,552","331,757,616",108.00,108.50,107.50,108.50,+1.00,"1,688"
109/06/09,"2,728,445","294,286,828",108.00,108.50,107.50,107.50,-1.00,"1,641"
109/06/10,"3,046,501","329,489,347",108.00,108.50,107.50,108.50,+1.00,"1,803"
109/06/11,"3,932,442","424,152,236",108.00,108.50,107.00,107.50,-1.00,"1,776"
109/06/12,"3,548,709","381,780,572",107.00,108.00,107.00,107.50, 0.00,"1,796"
109/06/15,"5,426,823","580,123,137",107.50,108.00,106.00,106.00,-1.50,"3,013"
109/06/16,"3,999,538","430,531,321",107.00,108.50,107.00,107.50,+1.50,"1,703"
109/06/17,"3,384,557","364,512,872",107.50,108.00,107.50,108.00,+0.50,"1,650"
109/06/18,"3,396,392","365,249,625",108.00,108.50,107.00,107.50,-0.50,"1,384"
109/06/19,"11,072,114","1,188,819,246",107.50,108.50,106.50,107.00,-0.50,"4,281"
109/06/22,"2,459,829","264,430,032",107.50,108.00,107.00,107.50,+0.50,685
109/06/23,"4,203,377","451,764,019",107.50,108.00,107.00,107.00,-0.50,"1,715"
109/06/24,"3,891,826","419,684,208",107.50,108.00,107.50,108.00,+1.00,"1,517"
109/06/29,"2,670,513","289,165,917",107.50,108.50,107.50,108.50,+0.50,"1,400"
109/06/30,"5,751,194","632,153,414",108.50,110.50,108.00,110.50,+2.00,"2,010"
109/07/01,"6,410,949","719,395,288",111.00,113.00,111.00,112.00,+1.50,"2,086"
109/07/02,"8,763,605","990,397,470",112.50,114.00,112.00,114.00,+2.00,"2,247"
109/07/03,"6,697,273","769,057,746",114.50,115.50,114.00,115.00,+1.00,"2,190"
109/07/06,"11,195,347","1,285,772,709",115.00,116.00,114.00,115.50,+0.50,"3,113"
109/07/07,"7,433,286","857,984,229",115.50,116.00,115.00,115.00,-0.50,"3,054"
109/07/08,"5,467,989","630,668,735",115.00,116.00,114.50,115.50,+0.50,"1,725"
109/07/09,"5,913,239","683,601,485",115.50,116.00,115.00,115.50, 0.00,"2,154"
109/07/10,"8,564,578","991,104,970",115.50,116.50,115.00,116.00,+0.50,"2,807"
109/07/13,"7,684,664","891,467,665",116.00,116.50,115.50,116.00, 0.00,"1,925"
109/07/14,"6,454,264","748,308,476",116.00,116.50,115.50,116.00, 0.00,"1,695"
109/07/15,"10,687,010","1,240,745,150",116.00,116.50,115.50,116.00, 0.00,"3,311"
109/07/16,"10,485,791","1,209,138,674",116.00,116.00,114.00,114.00,-2.00,"2,964"
109/07/17,"8,904,851","962,607,259",109.00,109.00,107.50,107.50,X0.00,"3,311"
109/07/20,"3,709,537","397,587,210",107.50,107.50,106.50,107.50, 0.00,"1,382"
109/07/21,"5,189,150","555,643,740",107.50,108.00,106.50,106.50,-1.00,"2,043"
109/07/22,"2,511,543","268,428,601",106.50,107.00,106.50,107.00,+0.50,"1,021"
109/07/23,"3,426,505","364,620,295",106.50,107.00,106.00,106.50,-0.50,"1,195"
109/07/24,"4,411,768","467,969,778",106.00,106.50,106.00,106.00,-0.50,"1,382"
109/07/27,"4,314,945","454,996,179",106.00,106.50,105.00,105.00,-1.00,"1,850"
109/07/28,"4,373,150","457,922,250",104.00,105.50,104.00,104.50,-0.50,"1,855"
109/07/29,"2,098,463","219,619,338",104.50,105.00,104.50,105.00,+0.50,"1,157"
109/07/30,"3,596,780","377,444,781",105.00,105.50,104.50,105.00, 0.00,"1,328"
109/07/31,"2,370,584","248,960,601",105.50,105.50,104.50,105.00, 0.00,727
109/08/03,"3,193,065","333,600,325",105.00,105.00,104.00,104.00,-1.00,"1,305"
109/08/04,"3,287,446","342,314,088",104.50,105.00,104.00,104.00, 0.00,"1,614"
109/08/05,"4,133,372","430,647,560",104.50,105.00,103.50,104.50,+0.50,"1,577"
109/08/06,"4,168,198","432,797,170",104.50,105.00,103.50,104.00,-0.50,"1,945"
109/08/07,"5,666,381","587,252,124",103.50,104.00,103.00,103.50,-0.50,"1,639"
109/08/10,"6,313,168","651,499,863",103.50,104.00,103.00,103.00,-0.50,"1,766"
109/08/11,"6,114,545","628,270,876",103.00,103.50,102.50,102.50,-0.50,"3,122"
109/08/12,"5,846,554","601,200,812",103.00,103.00,102.50,103.00,+0.50,"2,083"
109/08/13,"3,182,836","328,727,007",103.50,103.50,103.00,103.50,+0.50,"1,422"
109/08/14,"5,085,673","523,957,645",103.00,103.50,102.50,103.00,-0.50,"1,722"
109/08/17,"1,344,613","138,925,252",103.00,103.50,103.00,103.50,+0.50,726
109/08/18,"3,000,713","309,426,776",103.50,103.50,103.00,103.00,-0.50,"1,443"
109/08/19,"3,985,796","412,213,875",103.00,104.00,103.00,103.00, 0.00,"1,842"
109/08/20,"3,999,006","410,849,118",103.00,103.50,102.50,102.50,-0.50,"1,626"
109/08/21,"7,118,310","730,451,930",103.00,103.00,102.00,103.00,+0.50,"2,108"
109/08/24,"1,627,348","167,175,344",103.00,103.00,102.50,102.50,-0.50,648
109/08/25,"5,021,367","514,320,074",102.50,103.00,102.00,102.00,-0.50,"1,905"
109/08/26,"3,262,546","334,536,238",102.00,103.00,102.00,102.50,+0.50,805
109/08/27,"2,394,321","244,832,563",102.50,103.00,102.00,102.50, 0.00,949
109/08/28,"1,825,588","186,739,755",102.50,103.00,102.00,102.50, 0.00,974
109/08/31,"8,829,392","899,130,156",102.50,103.00,101.50,101.50,-1.00,"3,044"
109/09/01,"7,233,573","732,818,946",102.00,102.00,101.00,101.50, 0.00,"1,722"
109/09/02,"6,116,742","618,433,684",101.50,101.50,100.50,101.50, 0.00,"2,879"
109/09/03,"4,170,727","421,398,764",101.50,101.50,100.50,101.00,-0.50,"1,426"
109/09/04,"2,128,741","214,460,198",100.50,101.00,100.50,101.00, 0.00,"1,233"
109/09/07,"2,150,685","216,371,685",101.00,101.00,100.50,101.00, 0.00,"1,294"
109/09/08,"2,174,855","218,756,855",100.50,101.00,100.00,100.50,-0.50,"1,445"
109/09/09,"6,413,868","641,289,808",100.50,101.00,99.70,100.00,-0.50,"3,478"
109/09/10,"5,484,505","548,201,332",100.00,100.50,99.80,100.00, 0.00,"2,288"
109/09/11,"4,166,596","417,084,577",100.00,101.00,99.80,100.50,+0.50,"1,703"
109/09/14,"2,793,654","280,321,054",100.50,100.50,100.00,100.50, 0.00,"1,569"
109/09/15,"5,608,814","560,834,484",100.00,100.50,99.60,100.00,-0.50,"1,986"
109/09/16,"4,298,719","429,589,000",100.00,100.00,99.70,100.00, 0.00,"2,002"
109/09/17,"3,872,654","386,834,500",100.00,100.50,99.70,99.70,-0.30,"2,129"
109/09/18,"6,828,323","679,725,045",99.70,100.00,99.40,99.50,-0.20,"2,260"
109/09/21,"4,553,803","451,505,274",99.50,99.50,98.90,98.90,-0.60,"3,375"
109/09/22,"3,790,285","373,908,115",98.90,98.90,98.40,98.60,-0.30,"2,342"
109/09/23,"5,816,103","569,896,218",98.30,98.40,97.80,97.80,-0.80,"3,651"
109/09/24,"8,621,499","833,470,903",97.70,97.70,96.40,96.40,-1.40,"5,224"
109/09/25,"3,468,011","335,305,347",96.50,97.00,96.30,96.70,+0.30,"2,304"
109/09/28,"3,354,530","325,551,559",97.10,97.30,96.80,97.10,+0.40,"1,739"
109/09/29,"4,422,684","429,600,479",97.50,97.80,96.90,97.00,-0.10,"1,859"
109/09/30,"4,206,811","407,485,467",97.20,97.40,96.60,96.60,-0.40,"2,671"
109/10/05,"2,306,291","222,854,767",97.00,97.10,96.50,96.50,-0.10,"1,677"
109/10/06,"1,897,619","183,747,470",96.80,97.00,96.60,97.00,+0.50,"1,283"
109/10/07,"2,806,916","272,248,522",97.20,97.40,96.80,96.80,-0.20,"1,717"
109/10/08,"2,806,379","271,289,403",96.80,97.10,96.50,96.90,+0.10,"1,748"
109/10/12,"2,804,615","270,952,648",97.00,97.10,96.20,96.60,-0.30,"1,963"
109/10/13,"3,562,538","341,707,768",96.60,96.60,95.70,96.00,-0.60,"2,568"
109/10/14,"2,364,180","227,594,958",96.20,96.60,96.00,96.40,+0.40,"1,120"
109/10/15,"4,052,284","388,518,918",96.40,96.50,95.60,96.00,-0.40,"2,405"
109/10/16,"3,260,149","311,287,407",96.00,96.30,95.00,95.00,-1.00,"2,483"
109/10/19,"3,790,975","364,031,879",95.60,96.80,95.50,95.50,+0.50,"2,081"
