日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/05/27,"7,453,560","822,519,600",111.00,111.00,110.00,110.00,-1.00,"2,833"
109/05/28,"6,454,371","712,001,471",110.00,111.00,110.00,110.50,+0.50,"2,822"
109/05/29,"18,409,288","2,034,098,794",110.50,111.50,110.00,110.50, 0.00,"3,522"
109/06/01,"6,093,580","678,359,880",111.50,111.50,111.00,111.50,+1.00,"2,514"
109/06/02,"3,669,244","409,886,655",111.50,112.00,111.00,112.00,+0.50,"1,917"
109/06/03,"9,939,657","1,116,541,084",112.00,113.00,111.50,112.50,+0.50,"4,972"
109/06/04,"6,799,376","767,425,045",113.00,113.50,112.50,113.00,+0.50,"2,798"
109/06/05,"3,318,639","374,043,841",113.00,113.00,112.50,112.50,-0.50,"1,698"
109/06/08,"8,791,319","991,205,841",112.50,113.00,112.00,113.00,+0.50,"2,856"
109/06/09,"8,683,700","976,933,214",112.50,113.00,112.00,113.00, 0.00,"3,675"
109/06/10,"9,580,081","1,080,405,070",113.00,113.00,112.50,113.00, 0.00,"4,277"
109/06/11,"9,720,519","1,095,741,847",112.50,113.00,112.50,112.50,-0.50,"4,362"
109/06/12,"7,951,392","893,460,565",112.00,113.00,111.50,113.00,+0.50,"3,431"
109/06/15,"11,366,240","1,275,994,880",112.50,113.00,111.50,111.50,-1.50,"3,895"
109/06/16,"7,734,585","871,240,751",112.00,113.00,112.00,112.50,+1.00,"2,830"
109/06/17,"6,040,576","681,394,771",113.00,113.00,112.50,113.00,+0.50,"3,849"
109/06/18,"7,360,447","829,683,011",113.00,113.00,112.50,112.50,-0.50,"2,798"
109/06/19,"13,986,807","1,582,151,691",113.00,113.50,112.50,113.00,+0.50,"3,010"
109/06/22,"5,903,305","668,902,465",113.00,113.50,113.00,113.50,+0.50,"1,870"
109/06/23,"12,015,584","1,367,155,741",113.50,114.00,113.00,114.00,+0.50,"3,685"
109/06/24,"12,762,507","1,459,016,298",114.00,114.50,114.00,114.50,+0.50,"4,844"
109/06/29,"11,362,138","1,302,710,710",114.50,115.00,114.00,115.00,+0.50,"5,027"
109/06/30,"21,528,572","2,500,617,352",115.00,117.00,115.00,117.00,+2.00,"7,524"
109/07/01,"18,156,651","2,118,102,516",116.50,117.00,116.00,116.50,-0.50,"6,873"
109/07/02,"29,091,278","3,248,470,692",111.50,114.00,110.50,114.00,X0.00,"11,791"
109/07/03,"8,767,500","988,841,000",114.00,114.00,112.00,112.00,-2.00,"4,527"
109/07/06,"11,953,494","1,337,179,996",112.00,112.50,111.50,112.00, 0.00,"5,570"
109/07/07,"14,418,708","1,607,600,296",112.00,112.00,111.00,111.50,-0.50,"5,305"
109/07/08,"15,765,820","1,757,383,980",111.50,112.00,111.00,112.00,+0.50,"4,387"
109/07/09,"13,087,494","1,452,954,519",112.00,112.00,110.50,110.50,-1.50,"6,066"
109/07/10,"7,696,315","853,464,965",111.00,111.50,110.50,111.00,+0.50,"2,742"
109/07/13,"10,185,501","1,126,901,111",111.00,111.50,110.50,110.50,-0.50,"3,574"
109/07/14,"11,484,818","1,266,529,840",111.00,111.00,110.00,110.00,-0.50,"3,441"
109/07/15,"34,285,902","3,763,125,220",110.00,110.50,109.00,109.50,-0.50,"5,663"
109/07/16,"13,943,215","1,529,744,150",110.50,110.50,109.00,109.50, 0.00,"4,069"
109/07/17,"7,189,110","789,861,100",110.00,110.50,109.50,109.50, 0.00,"2,143"
109/07/20,"5,143,854","566,546,820",110.00,110.50,109.50,110.00,+0.50,"1,593"
109/07/21,"6,993,417","768,668,870",110.00,110.50,109.50,110.00, 0.00,"2,453"
109/07/22,"7,991,257","877,242,270",110.00,110.00,109.50,110.00, 0.00,"2,397"
109/07/23,"7,332,642","801,178,120",109.50,110.00,109.00,109.00,-1.00,"2,992"
109/07/24,"5,930,117","647,988,274",109.00,109.50,109.00,109.00, 0.00,"3,308"
109/07/27,"12,172,684","1,321,185,649",108.50,109.00,108.00,108.00,-1.00,"4,507"
109/07/28,"9,263,451","1,002,840,659",108.00,109.00,107.50,108.50,+0.50,"3,495"
109/07/29,"7,047,757","768,226,013",109.00,109.50,108.50,108.50, 0.00,"3,406"
109/07/30,"4,250,156","462,106,504",108.50,109.50,108.50,108.50, 0.00,"1,646"
109/07/31,"7,544,055","825,055,491",109.50,109.50,108.50,109.50,+1.00,"2,057"
109/08/03,"8,471,919","919,957,667",109.00,109.50,108.00,108.00,-1.50,"4,041"
109/08/04,"4,972,486","539,801,474",108.50,109.00,108.00,108.50,+0.50,"2,347"
109/08/05,"4,954,888","537,813,792",109.00,109.50,108.00,108.00,-0.50,"2,660"
109/08/06,"3,325,191","361,624,857",108.50,109.00,108.00,109.00,+1.00,"1,903"
109/08/07,"5,560,968","604,768,512",108.50,109.00,108.00,109.00, 0.00,"2,654"
109/08/10,"3,510,154","382,072,786",109.00,109.50,108.50,108.50,-0.50,"2,461"
109/08/11,"5,792,982","629,949,038",109.00,109.00,108.50,108.50, 0.00,"3,551"
109/08/12,"4,547,838","494,498,842",109.00,109.00,108.00,109.00,+0.50,"3,001"
109/08/13,"3,972,010","434,290,050",109.50,109.50,109.00,109.50,+0.50,"2,286"
109/08/14,"4,148,947","451,587,223",109.00,109.50,108.50,109.00,-0.50,"2,105"
109/08/17,"4,250,202","463,272,518",109.00,109.50,108.50,108.50,-0.50,"2,544"
109/08/18,"4,215,336","458,893,624",109.00,109.00,108.50,109.00,+0.50,"2,722"
109/08/19,"5,607,802","612,554,286",109.50,109.50,109.00,109.00, 0.00,"3,190"
109/08/20,"6,434,005","700,825,545",108.50,109.50,108.50,109.00, 0.00,"3,114"
109/08/21,"5,463,458","597,148,073",109.00,109.50,108.50,109.50,+0.50,"3,494"
109/08/24,"2,043,464","223,317,769",109.50,109.50,109.00,109.00,-0.50,"1,613"
109/08/25,"4,642,834","507,001,906",109.00,109.50,109.00,109.00, 0.00,"3,397"
109/08/26,"6,699,286","730,566,674",109.00,109.50,108.50,109.00, 0.00,"3,245"
109/08/27,"3,651,955","399,034,533",109.00,109.50,109.00,109.50,+0.50,"2,524"
109/08/28,"4,132,089","449,890,201",109.00,109.50,108.50,109.00,-0.50,"2,637"
109/08/31,"6,885,457","747,808,813",109.00,109.00,108.50,108.50,-0.50,"2,351"
109/09/01,"5,746,939","625,370,351",109.00,109.00,108.50,109.00,+0.50,"2,219"
109/09/02,"6,262,564","679,622,976",109.00,109.00,108.00,108.50,-0.50,"3,638"
109/09/03,"4,612,112","501,088,708",108.50,109.00,108.00,109.00,+0.50,"2,486"
109/09/04,"5,948,698","643,979,082",108.00,108.50,108.00,108.50,-0.50,"3,046"
109/09/07,"4,558,400","493,292,344",108.50,108.50,108.00,108.50, 0.00,"2,318"
109/09/08,"4,867,390","528,153,510",108.50,109.00,108.00,109.00,+0.50,"2,689"
109/09/09,"5,289,879","574,153,811",108.50,109.00,108.00,108.50,-0.50,"2,994"
109/09/10,"3,603,750","391,703,750",108.50,109.00,108.00,109.00,+0.50,"1,885"
109/09/11,"3,675,532","399,649,988",108.50,109.00,108.50,109.00, 0.00,"2,234"
109/09/14,"4,317,927","469,317,543",108.50,109.00,108.00,109.00, 0.00,"2,525"
109/09/15,"3,480,148","378,240,632",108.50,109.00,108.00,109.00, 0.00,"2,146"
109/09/16,"3,813,649","415,024,741",109.00,109.00,108.50,109.00, 0.00,"2,504"
109/09/17,"4,295,875","466,797,875",108.50,109.00,108.50,109.00, 0.00,"2,349"
109/09/18,"7,516,240","817,985,160",108.50,109.00,108.00,109.00, 0.00,"2,391"
109/09/21,"4,172,523","452,645,190",108.50,109.00,108.00,108.50,-0.50,"2,080"
109/09/22,"4,209,865","455,447,307",108.50,108.50,108.00,108.00,-0.50,"2,468"
109/09/23,"6,487,439","700,255,412",108.00,108.50,107.50,107.50,-0.50,"3,716"
109/09/24,"10,510,656","1,127,329,378",107.50,108.00,107.00,107.00,-0.50,"6,591"
109/09/25,"9,077,801","973,344,059",107.50,107.50,106.50,107.50,+0.50,"3,293"
109/09/28,"5,595,350","602,853,800",107.50,108.00,107.00,108.00,+0.50,"2,698"
109/09/29,"6,309,564","683,658,164",108.00,108.50,107.50,108.50,+0.50,"2,566"
109/09/30,"9,443,488","1,014,054,428",108.50,108.50,106.50,107.00,-1.50,"4,064"
109/10/05,"6,115,661","655,120,974",107.00,107.50,106.50,107.00, 0.00,"2,883"
109/10/06,"5,009,845","539,804,260",107.50,108.00,107.00,108.00,+1.00,"2,679"
109/10/07,"11,761,225","1,259,015,645",107.50,108.00,106.50,106.50,-1.50,"4,795"
109/10/08,"7,531,643","806,861,556",107.00,107.50,106.50,107.50,+1.00,"3,535"
109/10/12,"4,209,966","451,313,273",107.50,107.50,107.00,107.00,-0.50,"2,739"
109/10/13,"4,427,353","474,561,885",107.00,107.50,106.50,107.50,+0.50,"2,765"
109/10/14,"4,742,230","508,955,691",107.50,107.50,107.00,107.50, 0.00,"2,443"
109/10/15,"9,339,786","995,919,102",107.00,107.50,106.50,106.50,-1.00,"5,774"
109/10/16,"5,127,011","546,583,177",106.50,107.00,106.50,106.50, 0.00,"3,519"
109/10/19,"4,889,755","521,647,285",106.50,107.00,106.50,107.00,+0.50,"3,418"
